Batch,Sample Type,Inject Order,Sample Name
Batch-A,QC,1,A-QC000
Batch-A,Sample,3,GB001617
Batch-A,Sample,4,GB001333
Batch-A,Sample,5,GB001191
Batch-A,Sample,6,GB001827
Batch-A,Sample,7,GB001722
Batch-A,Sample,8,GB001468
Batch-A,Sample,9,GB001543
Batch-A,Sample,10,GB001347
Batch-A,Sample,11,GB001762
Batch-A,Sample,12,GB001719
Batch-A,QC,13,A-QC001
Batch-A,Sample,14,GB001531
Batch-A,Sample,15,GB001540
Batch-A,Sample,16,GB001341
Batch-A,Sample,17,GB001588
Batch-A,Sample,18,GB001301
Batch-A,Sample,19,GB001234
Batch-A,Sample,20,GB001283
Batch-A,Sample,21,GB001126
Batch-A,Sample,22,GB001052
Batch-A,Sample,23,GB001630
Batch-A,QC,24,A-QC002
Batch-A,Sample,25,GB001131
Batch-A,Sample,26,GB001684
Batch-A,Sample,27,GB001235
Batch-A,Sample,28,GB001705
Batch-A,Sample,29,GB001648
Batch-A,Sample,30,GB001773
Batch-A,Sample,31,GB001137
Batch-A,Sample,32,GB001625
Batch-A,Sample,33,GB001519
Batch-A,Sample,34,GB001098
Batch-A,QC,35,A-QC003
Batch-A,Sample,36,GB001317
Batch-A,Sample,37,GB001127
Batch-A,Sample,38,GB001431
Batch-A,Sample,39,GB001130
Batch-A,Sample,40,GB001774
Batch-A,Sample,41,GB001491
Batch-A,Sample,42,GB001675
Batch-A,Sample,43,GB001091
Batch-A,Sample,44,GB001671
Batch-A,Sample,45,GB001071
Batch-A,QC,46,A-QC004
Batch-A,Sample,47,GB001548
Batch-A,Sample,48,GB001291
Batch-A,Sample,49,GB001419
Batch-A,Sample,50,GB001545
Batch-A,Sample,51,GB001285
Batch-A,Sample,52,GB001750
Batch-A,Sample,53,GB001823
Batch-A,Sample,54,GB001739
Batch-A,Sample,55,GB001292
Batch-A,Sample,56,GB001059
Batch-A,QC,57,A-QC005
Batch-A,Sample,58,GB001689
Batch-A,Sample,59,GB001829
Batch-A,Sample,60,GB001634
Batch-A,Sample,61,GB001389
Batch-A,Sample,62,GB002470
Batch-A,Sample,63,GB002086
Batch-A,Sample,64,GB002053
Batch-A,Sample,65,GB001997
Batch-A,Sample,66,GB002075
Batch-A,Sample,67,GB001851
Batch-A,QC,68,A-QC006
Batch-A,Sample,69,GB002146
Batch-A,Sample,70,GB002198
Batch-A,Sample,71,GB001922
Batch-A,Sample,72,GB002248
Batch-A,Sample,73,GB002115
Batch-A,Sample,74,GB002286
Batch-A,Sample,75,GB001933
Batch-A,Sample,76,GB001945
Batch-A,Sample,77,GB002381
Batch-A,Sample,78,GB001944
Batch-A,QC,79,A-QC007
Batch-A,Sample,80,GB002056
Batch-A,Sample,81,GB002272
Batch-A,Sample,82,GB002449
Batch-A,Sample,83,GB002335
Batch-A,Sample,84,GB002195
Batch-A,Sample,85,GB002512
Batch-A,Sample,86,GB002026
Batch-A,Sample,87,GB001832
Batch-A,Sample,88,GB001913
Batch-A,Sample,89,GB002008
Batch-A,QC,90,A-QC008
Batch-A,Sample,91,GB002182
Batch-A,Sample,92,GB002134
Batch-A,Sample,93,GB001953
Batch-A,Sample,94,GB001902
Batch-A,Sample,95,GB002126
Batch-A,Sample,96,GB002070
Batch-A,Sample,97,GB001981
Batch-A,Sample,98,GB002349
Batch-A,Sample,99,GB001929
Batch-A,Sample,100,GB002474
Batch-A,QC,101,A-QC009
Batch-A,Sample,102,GB002522
Batch-A,Sample,103,GB001926
Batch-A,Sample,104,GB002437
Batch-A,Sample,105,GB002497
Batch-A,Sample,106,GB002095
Batch-A,Sample,107,GB002164
Batch-A,Sample,108,GB002152
Batch-A,Sample,109,GB002416
Batch-A,Sample,110,GB002166
Batch-A,Sample,111,GB002328
Batch-A,QC,112,A-QC010
Batch-A,Sample,114,GB001976
Batch-A,Sample,115,GB002035
Batch-A,Sample,116,GB002041
Batch-A,Sample,117,GB002266
Batch-A,Sample,118,GB002244
Batch-A,Sample,119,GB002276
Batch-A,Sample,120,GB002360
Batch-A,Sample,121,GB002237
Batch-A,Sample,122,GB002585
Batch-A,Sample,123,GB003087
Batch-A,QC,124,A-QC011
Batch-A,Sample,125,GB003117
Batch-A,Sample,126,GB003147
Batch-A,Sample,127,GB002966
Batch-A,Sample,128,GB002577
Batch-A,Sample,129,GB002821
Batch-A,Sample,130,GB002886
