Batch,Sample Type,Inject Order,Sample Name,File Name,Bio Group
B1,Blank,1,BLANK1-1,P0014_6600_0106_POS_BLANK1-1_50-2uL_C18-25.5min_R1,Invalid
B1,Blank,2,BLANK1-2,P0014_6600_0106_POS_BLANK1-2_50-2uL_C18-25.5min_R2,Invalid
B1,Blank,3,BLANK1-3,P0014_6600_0106_POS_BLANK1-3_50-2uL_C18-25.5min_R3,Invalid
B1,Blank,4,BLANK1-4,P0014_6600_0106_POS_BLANK1-4_50-2uL_C18-25.5min_R4,Invalid
B1,QC,11,QC1-1,P0014_6600_0106_POS_QC1-1_50-2uL_C18-25.5min_R11,Invalid
B1,Sample,12,B1-001,P0014_6600_0106_POS_B1-001_50-2uL_C18-25.5min_R12,SG-2
B1,Sample,13,B1-004,P0014_6600_0106_POS_B1-004_50-2uL_C18-25.5min_R13,SG-2
B1,Sample,14,B1-005,P0014_6600_0106_POS_B1-005_50-2uL_C18-25.5min_R14,SG-1
B1,Sample,15,B1-008,P0014_6600_0106_POS_B1-008_50-2uL_C18-25.5min_R15,SG-2
B1,Sample,16,B1-010,P0014_6600_0106_POS_B1-010_50-2uL_C18-25.5min_R16,SG-2
B1,Sample,17,B1-011,P0014_6600_0106_POS_B1-011_50-2uL_C18-25.5min_R17,SG-2
B1,Sample,18,B1-013,P0014_6600_0106_POS_B1-013_50-2uL_C18-25.5min_R18,SG-2
B1,Sample,19,B1-014,P0014_6600_0106_POS_B1-014_50-2uL_C18-25.5min_R19,SG-2
B1,Sample,20,B1-017,P0014_6600_0106_POS_B1-017_50-2uL_C18-25.5min_R20,SG-2
B1,Sample,21,B1-019,P0014_6600_0106_POS_B1-019_50-2uL_C18-25.5min_R21,SG-2
B1,QC,22,QC1-2,P0014_6600_0106_POS_QC1-2_50-2uL_C18-25.5min_R22,Invalid
B1,Sample,24,B1-021,P0014_6600_0106_POS_B1-021_50-2uL_C18-25.5min_R24,SG-2
B1,Sample,25,B1-028,P0014_6600_0106_POS_B1-028_50-2uL_C18-25.5min_R25,SG-2
B1,Sample,26,B1-030,P0014_6600_0106_POS_B1-030_50-2uL_C18-25.5min_R26,SG-2
B1,Sample,27,B1-082,P0014_6600_0106_POS_B1-082_50-2uL_C18-25.5min_R27,SG-2
B1,Sample,28,B1-084,P0014_6600_0106_POS_B1-084_50-2uL_C18-25.5min_R28,SG-2
B1,Sample,29,B1-085,P0014_6600_0106_POS_B1-085_50-2uL_C18-25.5min_R29,SG-2
B1,Sample,30,B1-086,P0014_6600_0106_POS_B1-086_50-2uL_C18-25.5min_R30,SG-2
B1,Sample,31,B1-088,P0014_6600_0106_POS_B1-088_50-2uL_C18-25.5min_R31,SG-2
B1,Sample,32,B1-089,P0014_6600_0106_POS_B1-089_50-2uL_C18-25.5min_R32,SG-2
B1,Sample,33,B1-090,P0014_6600_0106_POS_B1-090_50-2uL_C18-25.5min_R33,SG-2
B1,QC,34,QC1-3,P0014_6600_0106_POS_QC1-3_50-2uL_C18-25.5min_R34,Invalid
B1,Blank,35,BLANK1-5,P0014_6600_0106_POS_BLANK1-5_50-2uL_C18-25.5min_R35,Invalid
B1,Sample,36,B1-091,P0014_6600_0106_POS_B1-091_50-2uL_C18-25.5min_R36,SG-2
B1,Sample,37,B1-092,P0014_6600_0106_POS_B1-092_50-2uL_C18-25.5min_R37,SG-2
B1,Sample,38,B1-094,P0014_6600_0106_POS_B1-094_50-2uL_C18-25.5min_R38,SG-2
B1,Sample,39,B1-095,P0014_6600_0106_POS_B1-095_50-2uL_C18-25.5min_R39,SG-0
B1,Sample,40,B1-096,P0014_6600_0106_POS_B1-096_50-2uL_C18-25.5min_R40,SG-2
B1,Sample,41,B1-097,P0014_6600_0106_POS_B1-097_50-2uL_C18-25.5min_R41,SG-2
B1,Sample,42,B1-099,P0014_6600_0106_POS_B1-099_50-2uL_C18-25.5min_R42,SG-2
B1,Sample,43,B1-102,P0014_6600_0106_POS_B1-102_50-2uL_C18-25.5min_R43,SG-2
B1,Sample,44,B1-103,P0014_6600_0106_POS_B1-103_50-2uL_C18-25.5min_R44,SG-1
B1,Sample,45,B1-105,P0014_6600_0106_POS_B1-105_50-2uL_C18-25.5min_R45,SG-2
B1,QC,46,QC1-4,P0014_6600_0106_POS_QC1-4_50-2uL_C18-25.5min_R46,Invalid
B1,Sample,48,B1-107,P0014_6600_0106_POS_B1-107_50-2uL_C18-25.5min_R48,SG-2
B1,Sample,49,B1-110,P0014_6600_0106_POS_B1-110_50-2uL_C18-25.5min_R49,SG-2
B1,Sample,50,B1-111,P0014_6600_0106_POS_B1-111_50-2uL_C18-25.5min_R50,SG-2
B1,Sample,51,B1-113,P0014_6600_0106_POS_B1-113_50-2uL_C18-25.5min_R51,SG-2
B1,Sample,52,B1-114,P0014_6600_0106_POS_B1-114_50-2uL_C18-25.5min_R52,SG-2
B1,Sample,53,B1-115,P0014_6600_0106_POS_B1-115_50-2uL_C18-25.5min_R53,SG-0
B1,Sample,54,B1-116,P0014_6600_0106_POS_B1-116_50-2uL_C18-25.5min_R54,SG-0
B1,Sample,55,B1-117,P0014_6600_0106_POS_B1-117_50-2uL_C18-25.5min_R55,SG-0
B1,Sample,56,B1-118,P0014_6600_0106_POS_B1-118_50-2uL_C18-25.5min_R56,SG-0
B1,Sample,57,B1-119,P0014_6600_0106_POS_B1-119_50-2uL_C18-25.5min_R57,SG-0
B1,QC,58,QC1-5,P0014_6600_0106_POS_QC1-5_50-2uL_C18-25.5min_R58,Invalid
B1,Sample,60,B1-120,P0014_6600_0106_POS_B1-120_50-2uL_C18-25.5min_R60,SG-2
B1,Sample,61,B1-121,P0014_6600_0106_POS_B1-121_50-2uL_C18-25.5min_R61,SG-2
B1,Sample,62,B1-122,P0014_6600_0106_POS_B1-122_50-2uL_C18-25.5min_R62,SG-2
B1,Sample,63,B1-123,P0014_6600_0106_POS_B1-123_50-2uL_C18-25.5min_R63,SG-0
B1,Sample,64,B1-124,P0014_6600_0106_POS_B1-124_50-2uL_C18-25.5min_R64,SG-2
B1,Sample,65,B1-125,P0014_6600_0106_POS_B1-125_50-2uL_C18-25.5min_R65,SG-1
B1,Sample,66,B1-126,P0014_6600_0106_POS_B1-126_50-2uL_C18-25.5min_R66,SG-0
B1,Sample,67,B1-128,P0014_6600_0106_POS_B1-128_50-2uL_C18-25.5min_R67,SG-0
B1,Sample,68,B1-130,P0014_6600_0106_POS_B1-130_50-2uL_C18-25.5min_R68,SG-1
B1,Sample,69,B1-131,P0014_6600_0106_POS_B1-131_50-2uL_C18-25.5min_R69,SG-1
B1,QC,70,QC1-6,P0014_6600_0106_POS_QC1-6_50-2uL_C18-25.5min_R70,Invalid
B1,Blank,71,BLANK1-6,P0014_6600_0106_POS_BLANK1-6_50-2uL_C18-25.5min_R71,Invalid
B1,Sample,72,B1-132,P0014_6600_0106_POS_B1-132_50-2uL_C18-25.5min_R72,SG-0
B1,Sample,73,B1-133,P0014_6600_0106_POS_B1-133_50-2uL_C18-25.5min_R73,SG-2
B1,Sample,74,B1-134,P0014_6600_0106_POS_B1-134_50-2uL_C18-25.5min_R74,SG-2
B1,Sample,75,B1-135,P0014_6600_0106_POS_B1-135_50-2uL_C18-25.5min_R75,SG-0
B1,Sample,76,B1-136,P0014_6600_0106_POS_B1-136_50-2uL_C18-25.5min_R76,SG-0
B1,Sample,77,B1-137,P0014_6600_0106_POS_B1-137_50-2uL_C18-25.5min_R77,SG-0
B1,Sample,78,B1-138,P0014_6600_0106_POS_B1-138_50-2uL_C18-25.5min_R78,SG-0
B1,Sample,79,B1-139,P0014_6600_0106_POS_B1-139_50-2uL_C18-25.5min_R79,SG-1
B1,Sample,80,B1-140,P0014_6600_0106_POS_B1-140_50-2uL_C18-25.5min_R80,SG-0
B1,Sample,81,B1-141,P0014_6600_0106_POS_B1-141_50-2uL_C18-25.5min_R81,SG-0
B1,QC,82,QC1-7,P0014_6600_0106_POS_QC1-7_50-2uL_C18-25.5min_R82,Invalid
B1,Sample,84,B1-142,P0014_6600_0106_POS_B1-142_50-2uL_C18-25.5min_R84,SG-0
B1,Sample,85,B1-143,P0014_6600_0106_POS_B1-143_50-2uL_C18-25.5min_R85,SG-1
B1,Sample,86,B1-144,P0014_6600_0106_POS_B1-144_50-2uL_C18-25.5min_R86,SG-2
B1,Sample,87,B1-145,P0014_6600_0106_POS_B1-145_50-2uL_C18-25.5min_R87,SG-0
B1,Sample,88,B1-146,P0014_6600_0106_POS_B1-146_50-2uL_C18-25.5min_R88,SG-2
B1,Sample,89,B1-147,P0014_6600_0106_POS_B1-147_50-2uL_C18-25.5min_R89,SG-0
B1,Sample,90,B1-148,P0014_6600_0106_POS_B1-148_50-2uL_C18-25.5min_R90,SG-0
B1,Sample,91,B1-149,P0014_6600_0106_POS_B1-149_50-2uL_C18-25.5min_R91,SG-1
B1,Sample,92,B1-151,P0014_6600_0106_POS_B1-151_50-2uL_C18-25.5min_R92,SG-0
B1,Sample,93,B1-152,P0014_6600_0106_POS_B1-152_50-2uL_C18-25.5min_R93,SG-0
B1,QC,94,QC1-8,P0014_6600_0106_POS_QC1-8_50-2uL_C18-25.5min_R94,Invalid
B1,Sample,96,B1-153,P0014_6600_0106_POS_B1-153_50-2uL_C18-25.5min_R96,SG-0
B1,Sample,97,B1-157,P0014_6600_0106_POS_B1-157_50-2uL_C18-25.5min_R97,SG-1
B1,Sample,98,B1-158,P0014_6600_0106_POS_B1-158_50-2uL_C18-25.5min_R98,SG-2
B1,Sample,99,B1-160,P0014_6600_0106_POS_B1-160_50-2uL_C18-25.5min_R99,SG-0
B1,Sample,100,B1-161,P0014_6600_0106_POS_B1-161_50-2uL_C18-25.5min_R100,SG-0
B1,Sample,101,B1-162,P0014_6600_0106_POS_B1-162_50-2uL_C18-25.5min_R101,SG-0
B1,Sample,102,B1-163,P0014_6600_0106_POS_B1-163_50-2uL_C18-25.5min_R102,SG-2
B1,Sample,103,B1-164,P0014_6600_0106_POS_B1-164_50-2uL_C18-25.5min_R103,SG-0
B1,Sample,104,B1-167,P0014_6600_0106_POS_B1-167_50-2uL_C18-25.5min_R104,SG-0
B1,Sample,105,B1-168,P0014_6600_0106_POS_B1-168_50-2uL_C18-25.5min_R105,SG-2
B1,QC,106,QC1-9,P0014_6600_0106_POS_QC1-9_50-2uL_C18-25.5min_R106,Invalid
B1,Blank,107,BLANK1-7,P0014_6600_0106_POS_BLANK1-7_50-2uL_C18-25.5min_R107,Invalid
B1,Sample,108,B1-170,P0014_6600_0106_POS_B1-170_50-2uL_C18-25.5min_R108,SG-0
B1,Sample,109,B1-171,P0014_6600_0106_POS_B1-171_50-2uL_C18-25.5min_R109,SG-0
B1,Sample,110,B1-174,P0014_6600_0106_POS_B1-174_50-2uL_C18-25.5min_R110,SG-0
B1,Sample,111,B1-179,P0014_6600_0106_POS_B1-179_50-2uL_C18-25.5min_R111,SG-0
